question_id,Question,Relevant Channel,question_type,Option 1,O1_PW1_Awareness,O1_PW2_Credibility,O1_PW3_Communication,O1_PW4_Retention,O1_PW5_Engagement,O1_PW6_Strategy,Option 2,O2_PW1_Awareness,O2_PW2_Credibility,O2_PW3_Communication,O2_PW4_Retention,O2_PW5_Engagement,O2_PW6_Strategy,Option 3,O3_PW1_Awareness,O3_PW2_Credibility,O3_PW3_Communication,O3_PW4_Retention,O3_PW5_Engagement,O3_PW6_Strategy,Option 4,O4_PW1_Awareness,O4_PW2_Credibility,O4_PW3_Communication,O4_PW4_Retention,O4_PW5_Engagement,O4_PW6_Strategy
1,How consistent is your brand’s core message and visuals across all your channels?,"Email List, Events/Webinars, Paid Ads, Partnership/Referral, Social Media, Website",Baseline,Each channel has its own voice; there's little consistency,0,-2,-2,-1,0,-1,"We try to align our messaging, but inconsistencies slip through",0,-1,-1,0,0,0,"We have a unified voice and style, but some channels are less refined ",1,2,2,2,0,1,Our brand voice and message are flawlessly consistent across all platforms ,2,2,2,2,1,2
2,How do you track the performance of your marketing across all channels?,"Email List, Events/Webinars, Paid Ads, Partnership/Referral, Social Media, Website",Baseline,We don’t track much beyond basic metrics,0,-1,-1,-1,-1,-2,"We use analytics per channel, but lack unified reporting",0,0,0,0,0,-1,We track KPIs and review performance monthly,1,1,1,1,1,1,We have a dashboard tracking ROI across all channels and adjust accordingly,1,2,2,2,2,2
4,How often do you audit or optimize your marketing materials and assets?,"Email List, Events/Webinars, Paid Ads, Partnership/Referral, Social Media, Website",Baseline,Rarely or never—we use the same assets for years,-1,-2,-1,-1,-1,-2,"We update things occasionally, usually when something breaks",0,-1,0,0,0,-1,We review and refresh assets every quarter or so,1,1,1,1,1,1,"We proactively audit, update, and A/B test creative across all channels",2,2,2,2,2,2
5,How well are your marketing efforts aligned with your sales or client onboarding process?,"Email List, Events/Webinars, Paid Ads, Partnership/Referral, Social Media, Website",Baseline,Marketing and sales function completely separately,0,-1,-2,-2,-1,-2,There’s minimal coordination between marketing and sales,0,0,-1,-1,0,-1,"We have shared goals, but integration could be better",0,1,1,1,1,1,"Marketing and sales are tightly aligned, with shared tools and feedback loops",1,2,2,2,2,2
6,How frequently do you post on your social media platforms?,Social Media,Singular,"We post sporadically, sometimes weeks go by without content.",-2,-1,-1,0,-2,-1,"We post about once a week, but without a consistent schedule.",-1,0,0,0,-1,0, We post 3–4 times per week with some strategic planning.,1,1,1,1,1,1,We post daily with a clear content calendar aligned to goals.,2,2,1,1,2,2
8,"How well do you engage with your audience through comments, messages, and reactions?",Social Media,Singular,We rarely respond to comments or DMs.,0,-1,-2,0,-2,0,"We reply occasionally, mostly to direct questions.",0,0,-1,0,-1,0,We actively reply to comments and messages when tagged or mentioned.,1,1,1,1,1,0,"We initiate conversations, reply to most interactions, and engage in real-time.",1,2,2,2,2,1
9,"How often do you run campaigns, contests, or interactive content?","Email List, Paid Ads, Social Media",Combination Specific,We’ve never run any kind of campaign or interactive post.,-1,0,0,-2,-2,-1,"Occasionally, but only for major promotions.",0,0,0,-1,-1,0,We run light campaigns or engagement content quarterly.,1,1,1,1,1,1,"We regularly use campaigns, polls, and interactive content to drive engagement.",2,2,2,2,2,2
10,Do you collaborate with influencers or partners on social media?,"Partnership/Referral, Social Media",Combination Specific,We’ve never worked with influencers or collaborators.,-1,-1,0,0,-1,-1,"We’ve done a few one-off collaborations, without much planning.",0,0,0,0,0,0,We work with relevant partners occasionally to extend our reach.,1,1,1,0,1,1,We have an ongoing influencer/partner strategy with strong alignment.,2,2,2,1,2,2
11,How do you handle negative feedback or complaints?,"Email List, Events/Webinars, Paid Ads, Partnership/Referral, Social Media, Website",Baseline,We usually ignore or delete negative comments.,0,-2,-2,-2,-1,-1,We occasionally respond but without a clear protocol.,0,-1,-1,-1,0,0,We try to respond calmly and redirect issues privately.,0,1,1,1,1,1,We have a defined response strategy that turns issues into trust-builders.,0,2,2,2,1,2
12,What role does user-generated content (UGC) play in your social media strategy?,Social Media,Singular,We don’t encourage or use UGC.,-1,-1,0,0,-2,-1,Occasionally we repost a customer’s photo or comment.,0,0,0,0,-1,0,We have informal ways to showcase customer content.,1,1,0,1,1,1,"We actively encourage, feature, and reward UGC in our strategy.",2,2,1,2,2,2
